gp_code,gp_name,Address,Phone,location
mgp0001,Brunswick Community Medical Centre,11 Glenlyon Road  Brunswick VIC 3056,03 9231 1260,"{""lat"":-37.771508, ""lng"":144.962631}"
mgp0002,Brunswick Sable Pharmacy,362-366 Sydney Road  Brunswick VIC 3056,03 5998 3771,"{""lat"":-37.7694104, ""lng"":144.9619028}"
mgp0003,Melbourne Paediatric Specialists,Level 4 Suite 403  48 Flemington Road  Parkville VIC 3052,03 9948 5005,"{""lat"":-37.7945021, ""lng"":144.9496536}"
mgp0004,MOONEE VALLEY CITY COUNCIL,Moonee Valley City Council Civic Centre  Floor First  9 Kellaway Avenue  Moonee Ponds VIC 3039,03 9243 8888,"{""lat"":-37.7645702, ""lng"":144.9233013}"
mgp0005,HealthSmart Pharmacy VCCC,Victorian Comprehensive Cancer Centre  311 Grattan Street  Melbourne VIC 3000,03 9349 1067,"{""lat"":-37.7995735, ""lng"":144.9550822}"
mgp0006,City of Melbourne - Family Services Team,Family Services at Carlton Baths  248 Rathdowne Street  Carlton VIC 3053,03 9340 1422,"{""lat"":-37.8040123, ""lng"":144.9692993}"
mgp0007,Chemist Warehouse - Moonee Ponds,88-92 Puckle Street  Moonee Ponds VIC 3039,03 9375 4300,"{""lat"":-37.76670824736842, ""lng"":144.92184127894737}"
mgp0008,Moreland General Practice,80 Moreland Road  Brunswick VIC 3056,03 9385 1250,"{""lat"":-37.7561047, ""lng"":144.9699562}"
mgp0009,Chemist Warehouse - North Melbourne,19-23 Errol Street  North Melbourne VIC 3051,03 9329 0849,"{""lat"":-37.8030195, ""lng"":144.9497312}"
mgp0010,Ascot Vale Pharmacy,67-69 Union Road  Ascot Vale VIC 3032,03 9370 4146,"{""lat"":-37.7805224, ""lng"":144.9147598}"
mgp0011,Clifton Hill Pharmacy,340 Queens Parade  Clifton Hill VIC 3068,03 9489 8731,"{""lat"":-37.7896979, ""lng"":144.9886126}"
mgp0012,TLC Primary Care - Clifton Hill,217-241 Queens Parade  Fitzroy North VIC 3068,03 8638 9200,NA
mgp0013,Essendon Family Medical Clinic,Suite 1  143 Napier Street  Essendon VIC 3040,03 9370 0890,"{""lat"":-37.7497833, ""lng"":144.9187056}"
mgp0014,Clinicare - Fitzroy,165 Smith Street  Fitzroy VIC 3065,03 9417 3377,"{""lat"":-37.8043398, ""lng"":144.9831751}"
mgp0015,Doctors of Northcote,293-295 High Street  Northcote VIC 3070,03 8481 3600,"{""lat"":-37.7774439, ""lng"":144.9974244}"
mgp0016,Moreland City Council - Civic Centre,Coburg Civic Centre  90 Bell Street  Coburg VIC 3058,03 9240 1111,"{""lat"":-37.7414091, ""lng"":144.9693696}"
mgp0017,Priceline Pharmacy Bourke Street Mall,Centrepoint Building  Shop 108-125  283 Bourke Street  Melbourne VIC 3000,03 9654 2034,"{""lat"":-37.813969, ""lng"":144.964876}"
mgp0018,Melbourne City Council,Administration Building  120 Swanston Street  Melbourne VIC 3000,03 9658 9658,"{""lat"":-37.8186502, ""lng"":144.9680827}"
mgp0019,Midtown Medical Clinic,Level 4  250 Collins Street  Melbourne VIC 3000,03 9650 4284,"{""lat"":-37.81549390977831, ""lng"":144.9658734305359}"
mgp0020,Northcote Discount Chemist,Shop 4  Northcote Plaza  Shop 5  3 Separation Street  Northcote VIC 3070,03 9481 7255,"{""lat"":-37.7698296, ""lng"":145.0031884}"
mgp0021,Young People's Health Service (Royal Childrens Hospital),Frontyard Youth Services  244 Flinders Street  Melbourne VIC 3000,03 9611 2409,"{""lat"":-37.817536, ""lng"":144.9662107}"
mgp0022,Pyman's Pharmacy,84 Wellington Parade  East Melbourne VIC 3002,03 9419 4464,"{""lat"":-37.8164145, ""lng"":144.9871973}"
mgp0023,Chemist Warehouse Southbank,Shop 2-3  153-159 Sturt Street  Southbank VIC 3006,03 9682 2278,"{""lat"":-37.8276939, ""lng"":144.9665201}"
mgp0024,Bridge Road Pharmacy,Shop 1  246 Bridge Road  Richmond VIC 3121,03 9429 7337,"{""lat"":-37.8186634, ""lng"":144.9989191}"
mgp0025,Chemist Warehouse - Footscray,190 Barkly Street  Footscray VIC 3011,03 9687 0275,"{""lat"":-37.799424, ""lng"":144.897812}"
mgp0026,Yarra City Council Aged Care Services,333 Bridge Road  Richmond VIC 3121,03 9205 5555,"{""lat"":-37.8184016, ""lng"":145.0008009447552}"
mgp0027,Darebin Immunisation Service,Maternal and Child Health Building  270 Gower Street  Preston VIC 3072,03 8470 8562,"{""lat"":-37.7403819, ""lng"":145.0052003}"
mgp0028,Thornbury Medical Centre,408 Station Street  Thornbury VIC 3071,03 9480 4000,"{""lat"":-37.7548006, ""lng"":145.0205315}"
mgp0029,Buckley Street Pharmacy,Buckley Street Pharmacy  357 Buckley Street  Aberfeldie VIC 3040,393310000,"{""lat"":-37.7554358, ""lng"":144.9027885}"
mgp0030,Chemist Warehouse - Preston,475-479 High Street  Preston VIC 3072,03 9470 6626,"{""lat"":-37.745241, ""lng"":145.002801}"
mgp0031,Priceline Pharmacy Highpoint,Highpoint Shopping Centre  Level 2 Shop 2539  200 Rosamond Road  Maribyrnong VIC 3032,03 9318 2983,"{""lat"":-37.7732838, ""lng"":144.88880200099536}"
mgp0032,Port Phillip City Council - South Melbourne Office,208 220 Bank Street  South Melbourne VIC 3205,03 9209 6777,"{""lat"":-37.8346756, ""lng"":144.9599595}"
mgp0033,Terrywhite Chemmart - Richmond,210 Swan Street  Richmond VIC 3121,03 9428 5143,"{""lat"":-37.8256154, ""lng"":144.9966142}"
mgp0034,Skin Temple,Ground floor  31 Arnold Street  Melbourne VIC 3004,398672992,"{""lat"":-37.8354782, ""lng"":144.9765947}"
mgp0035,Port Phillip City Council - Port Melbourne Office,Bubup Womindjeka Family and Children's Centre  85 Liardet Street  Port Melbourne VIC 3207,03 9209 6777,"{""lat"":-37.8409829, ""lng"":144.9465618}"
mgp0036,Port Bay Street Pharmacy,51 Bay Street  Port Melbourne VIC 3207,03 9646 3597,"{""lat"":-37.8325082, ""lng"":144.9479193}"
mgp0037,Chemist Warehouse Niddrie,Shop 2-4  312-318 Keilor Road  Niddrie VIC 3042,03 9379 1455,"{""lat"":-37.7307276, ""lng"":144.8738551}"
mgp0038,Chemist Warehouse Preston Home Co DC,Tenancy T08  85 Chifley Drive  Preston VIC 3072,03 9470 2656,"{""lat"":-37.7445036, ""lng"":145.029344}"
mgp0039,First Point Medicals - Niddrie,Ground Floor  Shop 2  326 Keilor Road  Niddrie VIC 3042,03 8383 2351,"{""lat"":-37.737036, ""lng"":144.892353}"
mgp0040,Niddrie Pharmacy Superstore,451-453 Keilor Road  Niddrie VIC 3042,03 9379 2494,"{""lat"":-37.7307276, ""lng"":144.8738551}"
mgp0041,Carnovale Pharmacy,149 Somerville Road  Yarraville VIC 3013,03 9314 7557,"{""lat"":-37.8137128, ""lng"":144.8917186}"
mgp0042,Nelson's Amcal Pharmacy,124 West Street  Glenroy VIC 3046,03 9306 8196,"{""lat"":-37.7049821, ""lng"":144.9387072}"
mgp0043,Inner West Medical Centre,304 Williamstown Road  Yarraville VIC 3013,03 9314 6877,"{""lat"":-37.8254097, ""lng"":144.88092}"
mgp0044,Direct Chemist Outlet Reservoir,4 Edwardes Street  Reservoir VIC 3073,03 9462 1423,"{""lat"":-37.7162353, ""lng"":145.0057433}"
mgp0045,Your Community Health - East Reservoir,125 Blake Street  Reservoir VIC 3073,03 8470 1111,"{""lat"":-37.7310502, ""lng"":145.0286231}"
mgp0046,TerryWhite Chemmart Hawthorn,736-738 Glenferrie Road  Hawthorn VIC 3122,03 9818 1313,"{""lat"":-37.8253913, ""lng"":145.0348377}"
mgp0047,Priceline Pharmacy - Prahran,299-301 Chapel Street  Prahran VIC 3181,03 9510 4253,"{""lat"":-37.8456383, ""lng"":144.994398}"
mgp0048,Amcal Pharmacy - Prahran,181 Chapel Street  Prahran VIC 3181,03 9525 0303,"{""lat"":-37.8456383, ""lng"":144.994398}"
mgp0049,Stott's Corner Pharmacy,532 Glenferrie Road  Hawthorn VIC 3122,03 9818 4424,"{""lat"":-37.8253913, ""lng"":145.0348377}"
mgp0050,Seutika Pharmacy Windsor,107 Chapel Street  Windsor VIC 3181,03 9510 1963,"{""lat"":-37.8576467, ""lng"":144.9922866}"
mgp0051,Kapadia Amcal Pharmacy,793 Pascoe Vale Road  Glenroy VIC 3046,03 9306 9010,"{""lat"":-37.7146398, ""lng"":144.9176758}"
mgp0052,Chemist Warehouse - Keilor East,Lot 3  233 Milleara Road  Keilor East VIC 3033,03 9325 4660,"{""lat"":-37.7401321, ""lng"":144.863719}"
mgp0053,Hawthorn East Medical & Aesthetic Clinic (HEMAC),663 Burwood Road  Hawthorn East VIC 3123,03 9078 9997,"{""lat"":-37.8245309, ""lng"":145.051316}"
mgp0054,Camberwell Road Medical Practice,Level 2  124-126 Camberwell Road  Hawthorn East VIC 3123,03 9834 7600,"{""lat"":-37.8275331, ""lng"":145.0522757}"
mgp0055,Chemist Warehouse Campbellfield DC,1463 Sydney Road  Campbellfield VIC 3061,03 9359 3165,"{""lat"":-37.6829233, ""lng"":144.9570667}"
mgp0056,Acland Court Priceline Pharmacy,160 Acland Street  St Kilda VIC 3182,03 9525 5111,"{""lat"":-37.8679477, ""lng"":144.9791754}"
mgp0057,Priceline Pharmacy - Williamstown,Shop 2  19-21 Douglas Parade  Williamstown VIC 3016,03 9397 5114,"{""lat"":-37.8587631, ""lng"":144.897945}"
mgp0058,Ramsay Pharmacy - Altona North,53 The Circle  Altona North VIC 3025,03 9391 3775,"{""lat"":-37.836696599999996, ""lng"":144.86392437979828}"
mgp0059,Boroondara City Council - Camberwell,8 Inglesby Road  Camberwell VIC 3124,03 9278 4444,"{""lat"":-37.834624899999994, ""lng"":145.06011329848826}"
mgp0060,Amcal Pharmacy - Tooronga,Shop 8  766 Toorak Road  Glen Iris VIC 3146,03 9822 2342,"{""lat"":-37.8477801, ""lng"":145.0725454}"
mgp0061,Chemist Warehouse Polaris - Bundoora,Polaris Shopping Centre  Shop H1  1056-1140 Plenty Road  Bundoora VIC 3083,03 9467 6643,NA
mgp0062,TerryWhite Chemmart Sunshine,Sunshine Plaza Shopping Centre  Shop 34  324-328 Hampshire Road  Sunshine VIC 3020,03 9312 3155,"{""lat"":-37.7877056, ""lng"":144.8332593}"
mgp0063,Hampshire Compounding Pharmacy,314 Hampshire Road  Sunshine VIC 3020,03 9311 1417,"{""lat"":-37.7877056, ""lng"":144.8332593}"
mgp0064,Hume City Council Immunisation Services - Broadmeadows,Broadmeadows Global Learning Centre  1093 Pascoe Vale Road  Broadmeadows VIC 3047,03 9205 2523,"{""lat"":-37.6825331, ""lng"":144.91848594256302}"
mgp0065,Malvern Corner Pharmacy,1434 High Street  Malvern VIC 3144,03 9509 5172,"{""lat"":-37.8582476, ""lng"":145.0410836}"
mgp0066,Chemist Warehouse - Balwyn,252-254 Whitehorse Road  Balwyn VIC 3103,03 9830 1254,"{""lat"":-37.8125434, ""lng"":145.0789127}"
mgp0067,Chemist Warehouse Bulleen Plaza,Bulleen Plaza  Shop 2E-2F  83-103 Manningham Road  Bulleen VIC 3105,03 9852 1044,"{""lat"":-37.7601999, ""lng"":145.0810519}"
mgp0068,Priceline Pharmacy - Gladstone Park,Gladstone Park Shopping Centre  Shop 155  Gladstone Park Drive  Gladstone Park VIC 3043,03 9335 5222,"{""lat"":-37.6892322, ""lng"":144.8843377}"
mgp0069,Greythorn Amcal Pharmacy,297-301 Doncaster Road  Balwyn North VIC 3104,03 9857 7363,"{""lat"":-37.7933648, ""lng"":145.0644139}"
mgp0070,TerryWhite Chemmart Keilor Village,686 Old Calder Highway  Keilor VIC 3036,03 9336 7395,"{""lat"":-37.7102699, ""lng"":144.8210859}"
mgp0071,Priceline Pharmacy - Bundoora,39A Plenty Road  Bundoora VIC 3083,03 9467 1414,"{""lat"":-37.69647638545886, ""lng"":145.05852436629942}"
mgp0072,The Women's and Children's Immunisation Services,Joan Kirner Women's and Children's at Sunshine Hospital  Ground Floor  176 Furlong Road  St Albans VIC 3021,390552027,"{""lat"":-37.758736799999994, ""lng"":144.81752078211372}"
mgp0073,GLEN EIRA CITY COUNCIL,Corner Glen Eira and Hawthorn Road  Caulfield VIC 3162,03 9524 3333,NA
mgp0074,NEST Family Wellness Clinic - Elsternwick,289 Kooyong Road  Elsternwick VIC 3185,1300 637 832,"{""lat"":-37.8821848, ""lng"":145.0157237}"
mgp0075,Priceline Pharmacy Lalor Plaza,Shop 19  22 Mckimmies Road  Lalor VIC 3075,03 9465 0202,"{""lat"":-37.6762132, ""lng"":145.0416002}"
mgp0076,Amcal+ Pharmacy Ashburton,162-164 High Street  Ashburton VIC 3147,03 9885 5154,"{""lat"":-37.8632855, ""lng"":145.0777096}"
mgp0077,Quality Pharmacy - Keilor Downs,Keilor Downs Plaza  Shop 23  80 Taylors Road  Keilor Downs VIC 3038,03 9364 0294,"{""lat"":-37.7276623, ""lng"":144.7935144}"
mgp0078,Burgess Family Centre,15 Barwon Street  Box Hill North VIC 3129,03 9262 6333,"{""lat"":-37.8107588, ""lng"":145.1183711}"
mgp0079,HOBSONS BAY CITY COUNCIL,115 Civic Parade  Altona VIC 3018,1300 179 944,"{""lat"":-37.86372905, ""lng"":144.83102951464355}"
mgp0080,Quality Pharmacy - Epping Medical,Epping Plaza  Shop 49  571-583 High Street  Epping VIC 3076,03 9401 1375,NA
mgp0081,Epping Healthcare,Pacific Epping  Shop 49  571-583 High Street  Epping VIC 3076,03 9408 0453,NA
mgp0082,Chemist Warehouse - Epping Homemaker Centre,Epping Homemaker Centre  Shop 11  560-650 High Street  Epping VIC 3076,03 9408 6363,NA
mgp0083,Wattle Park Amcal Pharmacy,1123 Riversdale Road  Surrey Hills VIC 3127,03 9808 1289,"{""lat"":-37.8369057, ""lng"":145.1045918}"
