facility_id,lga_name,facility_name,sport_lat,sport_lon,sport_played
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,-36.740988,147.168502,Aerobics
BALLAR12461,Ballarat City Council,Anytime Fitness Ballarat,-37.573219,143.835744,Aerobics
BALLAR12462,Ballarat City Council,Anytime Fitness Mount Clear,-37.602661,143.867711,Aerobics
BALLAR12538,Ballarat City Council,Ballarat Squash and Raquetball,-37.541994,143.839993,Aerobics
BALLAR5487,Ballarat City Council,Contours Wendouree,-37.54018,143.826133,Aerobics
BALLAR12491,Ballarat City Council,Countours Wendouree,-37.54018,143.826133,Aerobics
BALLAR12492,Ballarat City Council,CrossFit Ballarat,-37.63028,143.836995,Aerobics
BALLAR12493,Ballarat City Council,Curves Sebastopol,-37.587151,143.840496,Aerobics
BALLAR12494,Ballarat City Council,Curves Wendouree,-37.540176,143.826312,Aerobics
BALLAR12501,Ballarat City Council,Fernwood Ballarat,-37.559542,143.858644,Aerobics
BALLAR12516,Ballarat City Council,O'Briens Kickboxing & Boxing Gym,-37.542919,143.857592,Aerobics
BALLAR12517,Ballarat City Council,On Track Personal Fitness,-37.562484,143.859425,Aerobics
BALLAR12525,Ballarat City Council,Spartans Gym and Supplements,-37.542901,143.857062,Aerobics
BALLAR12527,Ballarat City Council,Tennis Ballarat,-37.589433,143.829566,Aerobics
BALLAR12530,Ballarat City Council,UniSports,-37.625352,143.890766,Aerobics
BANYUL2628,Banyule City Council,Genesis Bundoora,-37.684267,145.071665,Aerobics
BENALL11073,Benalla Rural City Council,Benalla Aquatic Centre,-36.551055,145.980703,Aerobics
BOROON11001,Boroondara City Council,Ashburton Pool and Recreation Centre,-37.866851,145.085201,Aerobics
BOROON11005,Boroondara City Council,Balwyn Leisure Centre,-37.801945,145.08444,Aerobics
BOROON11007,Boroondara City Council,Body World Hawthorn East,-37.825123,145.057498,Aerobics
BOROON11008,Boroondara City Council,Boroondara Sports Complex,-37.803522,145.087004,Aerobics
BOROON11017,Boroondara City Council,Contours Hawthorn,-37.817632,145.035964,Aerobics
BOROON11024,Boroondara City Council,Fernwood Women's Health Club Camberwell,-37.824678,145.048725,Aerobics
BOROON11027,Boroondara City Council,Goodlife Health Club Camberwell,-37.828742,145.056411,Aerobics
BOROON11030,Boroondara City Council,Goodlife Health Clubs Balwyn,-37.811453,145.067857,Aerobics
BOROON11111,Boroondara City Council,Hawthorn Aquatic and Leisure Centre,-37.820839,145.033478,Aerobics
BOROON11049,Boroondara City Council,Kew Recreation Centre,-37.803608,145.03848,Aerobics
BOROON11067,Boroondara City Council,Vital Habits Personal Training,-37.848,145.076,Aerobics
BOROON11072,Boroondara City Council,Your Gym Surrey Hills,-37.815214,145.099815,Aerobics
