stop_id,stop_name,stop_lat,stop_lon
17204,Wallan Railway Station (Wallan),-37.416861,145.0053723
19980,Melton Railway Station (Melton South),-37.70335908,144.5722158
19981,Rockbank Railway Station (Rockbank),-37.72926127,144.6506315
19982,Deer Park Railway Station (Deer Park),-37.77776375,144.7723036
19998,Sunbury Railway Station (Sunbury),-37.57920639,144.7281645
20020,Ardeer Railway Station (Ardeer),-37.78306529,144.8021881
20029,Craigieburn Railway Station (Craigieburn),-37.6019248,144.943306
20043,Southern Cross Railway Station (Melbourne City),-37.81833429,144.9525249
20287,Albury Railway Station (Albury (NSW)),-36.08426161,146.9245154
20288,Ararat Railway Station (Ararat),-37.28220485,142.9369137
20289,Avenel Railway Station (Avenel),-36.89364778,145.229515
20290,Bacchus Marsh Railway Station (Maddingley),-37.68751666,144.4368553
20291,Bairnsdale Railway Station (Bairnsdale),-37.82872043,147.6276138
20292,Ballan Railway Station (Ballan),-37.60429951,144.225448
20293,Ballarat Railway Station (Ballarat Central),-37.55879148,143.8594574
20294,Beaufort Railway Station (Beaufort),-37.42787497,143.3822337
20295,Benalla Railway Station (Benalla),-36.54455031,145.9839151
20296,Bendigo Railway Station (Bendigo),-36.76566973,144.2830089
20297,Birregurra Railway Station (Birregurra),-38.32880781,143.7836252
20298,Broadford Railway Station (Broadford),-37.20720049,145.0430079
20299,Bunyip Railway Station (Bunyip),-38.09910771,145.7207575
20300,Camperdown Railway Station (Camperdown),-38.22890091,143.1509278
20301,Castlemaine Railway Station (Castlemaine),-37.06283745,144.213799
20302,Chiltern Railway Station (Chiltern),-36.15563663,146.6113748
20303,Clarkefield Railway Station (Clarkefield),-37.48349769,144.7453726
20304,Colac Railway Station (Colac),-38.34337792,143.5866531
20305,Corio Railway Station (Corio),-38.07283126,144.3797684
20306,Dingee Railway Station (Dingee),-36.36923291,144.2311203
20307,Donnybrook Railway Station (Donnybrook),-37.54257526,144.9695549
20308,Drouin Railway Station (Drouin),-38.1364519,145.8559469
20309,Eaglehawk Railway Station (Eaglehawk),-36.71852539,144.2483799
20310,Echuca Railway Station (Echuca),-36.13098223,144.7534587
20311,Elmore Railway Station (Elmore),-36.49502002,144.6077575
20312,Euroa Railway Station (Euroa),-36.7491306,145.5680886
20313,Garfield Railway Station (Garfield),-38.09103062,145.6742247
20314,Geelong Railway Station (Geelong),-38.14424211,144.3549891
20315,Gisborne Railway Station (New Gisborne),-37.4588255,144.5987216
20316,Heathcote Junction Railway Station (Heathcote Junction),-37.37171346,145.0282049
20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.79483364,144.2489902
20318,Kerang Railway Station (Kerang),-35.73312162,143.9244251
20319,Kilmore East Railway Station (Kilmore East),-37.29321027,144.983566
20320,Kyneton Railway Station (Kyneton),-37.25827885,144.4506016
20321,Lara Railway Station (Lara),-38.02242764,144.4144043
20323,Little River Railway Station (Little River),-37.96292909,144.4984849
20324,Longwarry Railway Station (Longwarry),-38.11099211,145.7668603
20325,Macedon Railway Station (Macedon),-37.42357331,144.5613969
20326,Malmsbury Railway Station (Malmsbury),-37.18974032,144.3753232
20327,Marshall Railway Station (Marshall),-38.198549,144.3550567
20328,Moe Railway Station (Moe),-38.17690856,146.2605716
20329,Mooroopna Railway Station (Mooroopna),-36.39912828,145.3582148
20330,Morwell Railway Station (Morwell),-38.23671876,146.396753
20331,Murchison East Railway Station (Murchison East),-36.61314794,145.2406356
20332,Nagambie Railway Station (Nagambie),-36.7854641,145.1603567
20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.08159155,145.5716657
20334,North Geelong Railway Station (North Geelong),-38.12283523,144.3522719
20335,North Shore Railway Station (North Shore),-38.09837714,144.3653214
20336,Pyramid Railway Station (Pyramid Hill),-36.05311274,144.1131327
20337,Riddells Creek Railway Station (Riddells Creek),-37.46512379,144.6798307
20338,Rochester Railway Station (Rochester),-36.3623605,144.6986813
20339,Rosedale Railway Station (Rosedale),-38.15640367,146.7869664
20341,Sale Railway Station (Sale),-38.10310272,147.0548051
20342,Seymour Railway Station (Seymour),-37.02472873,145.1377286
20343,Shepparton Railway Station (Shepparton),-36.38379101,145.4064975
20344,South Geelong Railway Station (South Geelong),-38.15865863,144.358987
20345,Springhurst Railway Station (Springhurst),-36.1858934,146.470417
20346,Stratford Railway Station (Stratford),-37.96704739,147.0814694
20347,Swan Hill Railway Station (Swan Hill),-35.34111357,143.5623432
20348,Tallarook Railway Station (Tallarook),-37.09233454,145.1029973
20349,Terang Railway Station (Terang),-38.23621199,142.9114722
20350,Trafalgar Railway Station (Trafalgar),-38.2072423,146.1547728
20351,Traralgon Railway Station (Traralgon),-38.19888494,146.5378821
20352,Tynong Railway Station (Tynong),-38.08499626,145.6282343
20353,Violet Town Railway Station (Violet Town),-36.63881606,145.7159234
20355,Wandong Railway Station (Wandong),-37.3546771,145.0264154
20356,Wangaratta Railway Station (Wangaratta),-36.35510089,146.3170385
20357,Warragul Railway Station (Warragul),-38.16522945,145.9326742
20358,Warrnambool Railway Station (Warrnambool),-38.38501396,142.475545
20359,Winchelsea Railway Station (Winchelsea),-38.24013506,143.9841339
20360,Wodonga Railway Station (Wodonga),-36.1058271,146.8712657
20361,Woodend Railway Station (Woodend),-37.35879859,144.5258901
20362,Yarragon Railway Station (Yarragon),-38.20315754,146.0630628
22238,Flinders Street Railway Station (Melbourne City),-37.81830513,144.9669643
22239,North Melbourne Railway Station (West Melbourne),-37.80630984,144.9415102
22240,Footscray Railway Station (Footscray),-37.80141343,144.9020201
22241,Sunshine Railway Station (Sunshine),-37.78853633,144.8328782
22244,Watergardens Railway Station (Sydenham),-37.70112872,144.7741805
22247,Richmond Railway Station (Richmond),-37.82407446,144.9901643
22248,Caulfield Railway Station (Caulfield East),-37.87745946,145.0425248
